baseline_name,jazz_link,baseline_link
rl,https://github.com/aquastar/URL_Test/blob/master/1/238.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/rl/412.mid?raw=true
rm-j,https://github.com/aquastar/URL_Test/blob/master/1/454.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/rm-j/156.mid?raw=true
gan,https://github.com/aquastar/URL_Test/blob/master/1/374.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/gan/91.mid?raw=true
gen_lookback,https://github.com/aquastar/URL_Test/blob/master/1/129.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/gen_lookback/2018-01-20_092713_002.mid?raw=true
fusion,https://github.com/aquastar/URL_Test/blob/master/1/235.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/fusion/39.mid?raw=true
rm-s,https://github.com/aquastar/URL_Test/blob/master/1/131.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/rm-s/254.mid?raw=true
mc-j,https://github.com/aquastar/URL_Test/blob/master/1/296.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/mc-j/14.mid?raw=true
gan,https://github.com/aquastar/URL_Test/blob/master/1/239.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/gan/110.mid?raw=true
mc-s,https://github.com/aquastar/URL_Test/blob/master/1/347.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/mc-s/128.mid?raw=true
mc-s,https://github.com/aquastar/URL_Test/blob/master/1/167.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/mc-s/226.mid?raw=true
rm-j,https://github.com/aquastar/URL_Test/blob/master/1/235.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/rm-j/79.mid?raw=true
mc-j,https://github.com/aquastar/URL_Test/blob/master/1/374.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/mc-j/175.mid?raw=true
rm-s,https://github.com/aquastar/URL_Test/blob/master/1/239.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/rm-s/254.mid?raw=true
rl,https://github.com/aquastar/URL_Test/blob/master/1/347.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/rl/427.mid?raw=true
mc-s,https://github.com/aquastar/URL_Test/blob/master/1/425.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/mc-s/128.mid?raw=true
rm-s,https://github.com/aquastar/URL_Test/blob/master/1/265.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/rm-s/117.mid?raw=true
mle,https://github.com/aquastar/URL_Test/blob/master/1/131.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/mle/413.mid?raw=true
rl,https://github.com/aquastar/URL_Test/blob/master/1/265.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/rl/427.mid?raw=true
gan,https://github.com/aquastar/URL_Test/blob/master/1/452.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/gan/110.mid?raw=true
fusion,https://github.com/aquastar/URL_Test/blob/master/1/236.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/fusion/160.mid?raw=true
rm-s,https://github.com/aquastar/URL_Test/blob/master/1/373.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/rm-s/213.mid?raw=true
rl,https://github.com/aquastar/URL_Test/blob/master/1/374.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/rl/440.mid?raw=true
fusion,https://github.com/aquastar/URL_Test/blob/master/1/452.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/fusion/39.mid?raw=true
gan,https://github.com/aquastar/URL_Test/blob/master/1/374.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/gan/91.mid?raw=true
rl,https://github.com/aquastar/URL_Test/blob/master/1/296.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/rl/227.mid?raw=true
fusion,https://github.com/aquastar/URL_Test/blob/master/1/238.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/fusion/160.mid?raw=true
rm-s,https://github.com/aquastar/URL_Test/blob/master/1/131.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/rm-s/117.mid?raw=true
mc-s,https://github.com/aquastar/URL_Test/blob/master/1/129.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/mc-s/128.mid?raw=true
mle,https://github.com/aquastar/URL_Test/blob/master/1/235.mid?raw=true, https://github.com/aquastar/URL_Test/blob/master/2/mle/238.mid?raw=true
